0	2544	9
1	5899	45
2	6035	70
3	5366	83
4	4822	94
5	4343	102
6	3987	110
7	4129	131
8	4191	150
9	4237	169
10	4306	190
11	4287	207
12	4256	224
13	4267	242
14	4273	261
15	4208	275
16	4189	293
17	4175	310
18	4150	327
19	4152	346
20	4115	361
21	4113	380
22	4110	398
23	4074	414
24	4049	430
25	4026	447
26	4007	464
27	4009	483
28	3988	500
29	3968	517
30	3951	534
31	3917	549
32	3933	571
33	3926	590
34	3920	609
35	3899	626
36	3892	645
37	3888	665
38	3866	682
39	3864	702
40	3853	721
41	3857	743
42	3868	766
43	3846	783
44	3820	799
45	3817	820
46	3798	838
47	3778	855
48	3778	877
49	3771	898
50	3765	918
51	3765	941
52	3760	962
53	3749	982
54	3735	1002
55	3717	1020
56	3705	1040
57	3704	1063
58	3688	1082
59	3669	1100
60	3673	1126
61	3659	1145
62	3643	1165
63	3627	1184
64	3606	1202
65	3582	1218
66	3566	1238
67	3541	1254
68	3518	1270
69	3495	1287
70	3485	1309
71	3463	1326
72	3448	1346
73	3424	1362
74	3408	1381
75	3391	1400
76	3370	1418
77	3348	1434
78	3327	1452
79	3305	1469
80	3287	1487
81	3265	1504
82	3248	1523
83	3227	1540
84	3201	1554
85	3184	1573
86	3159	1589
87	3135	1604
88	3121	1624
89	3104	1643
90	3088	1663
91	3071	1681
92	3046	1696
93	3021	1710
94	3000	1727
95	2979	1744
96	2961	1762
97	2943	1780
98	2922	1797
99	2903	1814
100	2883	1831
101	2863	1848
102	2844	1865
103	2824	1883
104	2805	1900
105	2784	1916
106	2765	1933
107	2745	1950
108	2728	1969
109	2709	1987
110	2689	2003
111	2675	2024
112	2656	2041
113	2636	2058
114	2620	2078
115	2602	2096
116	2583	2113
117	2562	2129
118	2543	2146
119	2523	2162
120	2504	2180
121	2484	2196
122	2466	2214
123	2446	2230
124	2427	2247
125	2408	2264
126	2389	2281
127	2368	2296
128	2349	2313
129	2331	2331
130	2312	2348
131	2293	2365
132	2274	2381
133	2255	2398
134	2236	2415
135	2218	2433
136	2200	2450
137	2182	2469
138	2163	2485
139	2144	2502
140	2125	2518
141	2107	2535
142	2088	2552
143	2072	2572
144	2053	2588
145	2034	2605
146	2020	2628
147	2001	2645
148	1983	2662
149	1964	2679
150	1947	2697
151	1930	2716
152	1912	2733
153	1894	2753
154	1875	2769
155	1856	2785
156	1838	2802
157	1819	2818
158	1801	2835
159	1783	2853
160	1765	2870
161	1748	2889
162	1731	2909
163	1714	2929
164	1696	2945
165	1677	2962
166	1659	2980
167	1640	2995
168	1623	3014
169	1607	3036
170	1589	3053
171	1573	3075
172	1555	3092
173	1536	3109
174	1518	3126
175	1501	3146
176	1483	3163
177	1464	3179
178	1446	3196
179	1427	3212
180	1410	3231
181	1392	3248
182	1374	3265
183	1355	3282
184	1337	3300
185	1319	3316
186	1302	3337
187	1284	3354
188	1266	3371
189	1247	3386
190	1230	3405
191	1212	3422
192	1194	3440
193	1176	3457
194	1158	3475
195	1140	3493
196	1122	3511
197	1104	3528
198	1087	3547
199	1071	3570
200	1053	3587
201	1035	3605
202	1017	3623
203	999	3642
204	981	3659
205	963	3677
206	945	3694
207	927	3711
208	909	3728
209	891	3746
210	874	3763
211	856	3781
212	838	3799
213	820	3816
214	802	3833
215	784	3852
216	766	3868
217	748	3885
218	730	3903
219	712	3919
220	694	3936
221	676	3954
222	658	3971
223	641	3988
224	623	4006
225	605	4023
226	587	4040
227	569	4059
228	552	4079
229	534	4095
230	516	4112
231	498	4131
232	480	4150
233	463	4167
234	445	4184
235	427	4202
236	409	4218
237	391	4235
238	373	4252
239	356	4272
240	338	4288
241	320	4305
242	302	4324
243	284	4342
244	267	4361
245	249	4377
246	231	4395
247	213	4413
248	195	4430
249	177	4446
250	160	4463
251	142	4479
252	124	4495
253	106	4514
254	88	4532
255	71	4549
256	53	4568
257	35	4584
258	17	4603
259	0	4621
